timestamp,price_per_mwh
2024-01-15 00:00,45.2
2024-01-15 00:15,44.8
2024-01-15 00:30,44.5
2024-01-15 00:45,44.2
2024-01-15 01:00,43.9
2024-01-15 01:15,43.6
2024-01-15 01:30,43.4
2024-01-15 01:45,43.2
2024-01-15 02:00,43.1
2024-01-15 02:15,43.0
2024-01-15 02:30,43.0
2024-01-15 02:45,43.1
2024-01-15 03:00,43.2
2024-01-15 03:15,43.4
2024-01-15 03:30,43.6
2024-01-15 03:45,43.8
2024-01-15 04:00,44.0
2024-01-15 04:15,44.3
2024-01-15 04:30,44.5
2024-01-15 04:45,44.8
2024-01-15 05:00,45.0
2024-01-15 05:15,45.3
2024-01-15 05:30,45.6
2024-01-15 05:45,46.0
2024-01-15 06:00,46.5
2024-01-15 06:15,47.0
2024-01-15 06:30,48.0
2024-01-15 06:45,49.5
2024-01-15 07:00,51.0
2024-01-15 07:15,53.0
2024-01-15 07:30,55.0
2024-01-15 07:45,57.0
2024-01-15 08:00,59.0
2024-01-15 08:15,60.5
2024-01-15 08:30,61.5
2024-01-15 08:45,62.0
2024-01-15 09:00,62.2
2024-01-15 09:15,61.8
2024-01-15 09:30,61.0
2024-01-15 09:45,60.0
2024-01-15 10:00,58.5
2024-01-15 10:15,57.0
2024-01-15 10:30,55.5
2024-01-15 10:45,54.0
2024-01-15 11:00,52.5
2024-01-15 11:15,51.0
2024-01-15 11:30,49.5
2024-01-15 11:45,48.0
2024-01-15 12:00,46.5
2024-01-15 12:15,45.5
2024-01-15 12:30,44.5
2024-01-15 12:45,43.8
2024-01-15 13:00,43.2
2024-01-15 13:15,42.8
2024-01-15 13:30,42.5
2024-01-15 13:45,42.3
2024-01-15 14:00,42.2
2024-01-15 14:15,42.2
2024-01-15 14:30,42.3
2024-01-15 14:45,42.5
2024-01-15 15:00,42.8
2024-01-15 15:15,43.2
2024-01-15 15:30,43.8
2024-01-15 15:45,44.5
2024-01-15 16:00,45.2
2024-01-15 16:15,46.0
2024-01-15 16:30,47.0
2024-01-15 16:45,48.0
2024-01-15 17:00,49.5
2024-01-15 17:15,51.0
2024-01-15 17:30,53.0
2024-01-15 17:45,55.0
2024-01-15 18:00,57.0
2024-01-15 18:15,58.5
2024-01-15 18:30,59.5
2024-01-15 18:45,60.0
2024-01-15 19:00,60.2
2024-01-15 19:15,59.8
2024-01-15 19:30,59.0
2024-01-15 19:45,58.0
2024-01-15 20:00,56.5
2024-01-15 20:15,55.0
2024-01-15 20:30,53.5
2024-01-15 20:45,52.0
2024-01-15 21:00,50.5
2024-01-15 21:15,49.0
2024-01-15 21:30,47.5
2024-01-15 21:45,46.0
2024-01-15 22:00,44.8
2024-01-15 22:15,44.0
2024-01-15 22:30,43.2
2024-01-15 22:45,42.5
2024-01-15 23:00,41.8
2024-01-15 23:15,41.2
2024-01-15 23:30,40.8
2024-01-15 23:45,40.5
