timestamp,price_per_mwh
2024-01-15 00:00,48.5
2024-01-15 00:15,40.2
2024-01-15 00:30,52.0
2024-01-15 00:45,38.5
2024-01-15 01:00,55.2
2024-01-15 01:15,36.8
2024-01-15 01:30,58.0
2024-01-15 01:45,35.2
2024-01-15 02:00,60.5
2024-01-15 02:15,34.0
2024-01-15 02:30,62.0
2024-01-15 02:45,35.5
2024-01-15 03:00,59.5
2024-01-15 03:15,38.0
2024-01-15 03:30,56.8
2024-01-15 03:45,40.5
2024-01-15 04:00,54.2
2024-01-15 04:15,42.8
2024-01-15 04:30,52.0
2024-01-15 04:45,44.5
2024-01-15 05:00,50.0
2024-01-15 05:15,46.0
2024-01-15 05:30,52.5
2024-01-15 05:45,50.0
2024-01-15 06:00,60.0
2024-01-15 06:15,52.0
2024-01-15 06:30,70.0
2024-01-15 06:45,58.0
2024-01-15 07:00,85.0
2024-01-15 07:15,68.0
2024-01-15 07:30,95.0
2024-01-15 07:45,72.0
2024-01-15 08:00,105.0
2024-01-15 08:15,75.0
2024-01-15 08:30,110.0
2024-01-15 08:45,70.0
2024-01-15 09:00,98.0
2024-01-15 09:15,65.0
2024-01-15 09:30,85.0
2024-01-15 09:45,60.0
2024-01-15 10:00,72.0
2024-01-15 10:15,52.0
2024-01-15 10:30,62.0
2024-01-15 10:45,45.0
2024-01-15 11:00,52.0
2024-01-15 11:15,38.0
2024-01-15 11:30,42.0
2024-01-15 11:45,30.0
2024-01-15 12:00,28.0
2024-01-15 12:15,22.0
2024-01-15 12:30,18.0
2024-01-15 12:45,15.0
2024-01-15 13:00,20.0
2024-01-15 13:15,12.0
2024-01-15 13:30,25.0
2024-01-15 13:45,18.0
2024-01-15 14:00,32.0
2024-01-15 14:15,24.0
2024-01-15 14:30,38.0
2024-01-15 14:45,32.0
2024-01-15 15:00,48.0
2024-01-15 15:15,40.0
2024-01-15 15:30,58.0
2024-01-15 15:45,50.0
2024-01-15 16:00,68.0
2024-01-15 16:15,60.0
2024-01-15 16:30,80.0
2024-01-15 16:45,72.0
2024-01-15 17:00,92.0
2024-01-15 17:15,85.0
2024-01-15 17:30,105.0
2024-01-15 17:45,95.0
2024-01-15 18:00,115.0
2024-01-15 18:15,100.0
2024-01-15 18:30,110.0
2024-01-15 18:45,95.0
2024-01-15 19:00,95.0
2024-01-15 19:15,80.0
2024-01-15 19:30,75.0
2024-01-15 19:45,62.0
2024-01-15 20:00,65.0
2024-01-15 20:15,52.0
2024-01-15 20:30,58.0
2024-01-15 20:45,45.0
2024-01-15 21:00,52.0
2024-01-15 21:15,40.0
2024-01-15 21:30,48.0
2024-01-15 21:45,37.0
2024-01-15 22:00,45.0
2024-01-15 22:15,33.0
2024-01-15 22:30,42.0
2024-01-15 22:45,31.0
2024-01-15 23:00,40.0
2024-01-15 23:15,28.0
2024-01-15 23:30,38.0
2024-01-15 23:45,27.0
